TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-22 05:25:43,1766381143989,www.creamininja.com/api/auth/signin,GET,callbackUrl=%2F&nxtPnextauth=signin,302,2pjsd-1766381143989-0079bd2c7deb,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,MISS,serverless,/api/auth/[...nextauth],www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,243,iad1,337,2048,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,01KD28AHYDT78HR5JEF7Y9K86G,t0fTN5zLukkH,1
2025-12-22 05:25:43,1766381143682,www.creamininja.com/,GET,,307,x5lfz-1766381143682-17d7341e13ba,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,,middleware,middleware,www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,48,iad1,104,2048,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,01KD28AHN4CCG09HHDYRAQR1VK,trNywVcI8wax,1
2025-12-22 05:25:43,1766381143682,www.creamininja.com/,GET,,307,x5lfz-1766381143682-17d7341e13ba,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,,redirect,/,www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,,cle1,,,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,,,
2025-12-22 05:20:17,1766380817458,www.creamininja.com/api/auth/register,POST,,500,srflr-1766380817114-5890329bc6d5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,MISS,serverless,/api/auth/register,www.creamininja.com,www.creamininja.com,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,,,,,"prisma:error 
Invalid `prisma.user.findFirst()` invocation:


The table `public.User` does not exist in the current database.",prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,,,
2025-12-22 05:20:17,1766380817466,www.creamininja.com/api/auth/register,POST,,500,srflr-1766380817114-5890329bc6d5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,MISS,serverless,/api/auth/register,www.creamininja.com,www.creamininja.com,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,,,,,"Registration error: Error [PrismaClientKnownRequestError]: 
Invalid `prisma.user.findFirst()` invocation:


The table `public.User` does not exist in the current database.
    at async o (.next/server/chunks/[root-of-the-server]__37522bff._.js:1:1315)
    at async u (.next/server/chunks/[root-of-the-server]__37522bff._.js:1:5376) {
  code: 'P2021',
  meta: [Object],
  clientVersion: '7.1.0'
}",prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,,,
2025-12-22 05:20:17,1766380817114,www.creamininja.com/api/auth/register,POST,,500,srflr-1766380817114-5890329bc6d5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,MISS,serverless,/api/auth/register,www.creamininja.com,www.creamininja.com,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,244,iad1,283,2048,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,01KD280JT0V3WH7ZDTBD5DTGMC,t0fTN5zLukkH,1
2025-12-22 05:19:53,1766380793624,www.creamininja.com/auth/signin,GET,callbackUrl=https%3A%2F%2Fwww.creamininja.com%2Fterms,200,tvwd9-1766380793624-b535f3cb015a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,HIT,static,/auth/signin.segments/_tree.segment,www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,,cle1,,,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,,,
2025-12-22 05:19:53,1766380793573,www.creamininja.com/auth/signin,GET,callbackUrl=https%3A%2F%2Fwww.creamininja.com%2Fprivacy,200,qt7xr-1766380793573-66d6db941cf5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,HIT,static,/auth/signin.segments/_tree.segment,www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,,cle1,,,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,,,
2025-12-22 05:19:53,1766380793549,www.creamininja.com/api/auth/signin,GET,callbackUrl=%2Fterms&nxtPnextauth=signin,302,tvwd9-1766380793549-2f3ff78f3069,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,MISS,serverless,/api/auth/[...nextauth].rsc,www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,8,iad1,283,2048,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,01KD27ZVPT0JV97R56GY5KXHDV,t0fTN5zLukkH,1
2025-12-22 05:19:53,1766380793501,www.creamininja.com/api/auth/signin,GET,callbackUrl=%2Fprivacy&nxtPnextauth=signin,302,tvwd9-1766380793501-ebf6e95ecafc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,codex/fix-404-errors-in-collapsible-sidebar-1ktyio,MISS,serverless,/api/auth/[...nextauth].rsc,www.creamininja.com,cream-r5tz7yn4j-luke-wades-projects.vercel.app,dpl_7ySE1NWrjk166LcJpVnMxWdPUBgq,10,iad1,282,2048,,prj_P2Frev1aB1rGdLxUfwpb3w9GuQGC,,,01KD27ZVN9SVZ839NZMHXN277E,t0fTN5zLukkH,1
